SAtimeCmean	NCRTinterceptNumDis	NCtimeCmean	grade	CAPreOrdmax	SAAnsCsum	SAPreOrdmax	NCIES	CAAnsCsum	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
					(0.48, 1.0)					('SAAnsCsum',)	191194.82	48.5681861483649	0.52	0.52	3.5	0.03	[ 71.98 483.01]	[1144.13 -294.12]	[1.  3.5 9. ]	[1216.11   71.98  411.03]	173624148961.01508	306626262642.2012	7.790736531147641e-07	3	1	199509605661.17175	173624148961.01508	135266
					(0.0, 0.48)					('SAAnsCsum',)	220795.24	28.01682189771017	0.48	0.48	3.2	0.04	[105.48 623.72]	[1504.08 -154.39]	[1.  3.2 9. ]	[1609.56  105.48  518.25]	351714885895.27466	579044960823.7457	3.58349916521669e-07	3	1	379568324788.2702	351714885895.27466	126037
						(0.5, 1.0)				('SAPreOrdmax',)	205977.25	7372.408154271752	0.51	0.51	3.5	0.03	[ 71.87 478.71]	[1137.73 -285.02]	[1.  3.5 9. ]	[1209.6    71.87  406.84]	171080424256.83722	298731048709.65173	7.719059651251848e-07	3	1	198283642577.10724	171080424256.83722	132058
						(0.0, 0.5)	(0.04, 1.0)			('SAPreOrdmax', 'NCIES')	686919.52	3634.44740161209	0.2	0.2	3.16	0.06	[121.09 694.36]	[1776.48  -35.78]	[1.   3.16 9.  ]	[1897.56  121.09  573.27]	186760008182.6699	303847884079.80774	2.7709893838397335e-07	3	1	236270112282.1753	186760008182.6699	51751
						(0.0, 0.5)				('SAPreOrdmax',)	191321.76	2844.667093274379	0.52	0.52	3.23	0.04	[107.44 619.9 ]	[1486.21 -168.07]	[1.   3.23 9.  ]	[1593.64  107.44  512.46]	373609626405.14	616110234471.5706	3.663743927507025e-07	3	1	399840973216.11414	373609626405.14	136881
							(0.0, 0.03)			('NCIES',)	251338.91	493.46132095832667	0.5	0.5	3.46	0.03	[ 69.96 475.35]	[1090.56 -313.58]	[1.   3.46 9.  ]	[1160.51   69.96  405.39]	145508160510.84216	269824059702.55188	8.890154307899531e-07	3	1	178023406622.3222	145508160510.84216	129359
							(0.03, 1.0)			('NCIES',)	241357.61	455.88537179112194	0.5	0.5	3.24	0.04	[106.22 623.9 ]	[1541.25 -136.89]	[1.   3.24 9.  ]	[1647.47  106.22  517.68]	369206586514.00134	604714234908.1765	3.5737173934462386e-07	3	1	401054523827.11975	369206586514.00134	131944
								(0.5, 1.0)		('CAAnsCsum',)	329890.36	676.5620591080215	0.25	0.25	3.61	0.04	[ 59.41 451.94]	[1095.41 -323.07]	[1.   3.61 9.  ]	[1154.82   59.41  392.53]	60164176879.110016	115348996177.29791	1.113054370120564e-06	3	1	87069633765.52147	60164176879.110016	66966
									(0.0, 0.19)	('NCtimeCmedian',)	247087.18	4.8373208460803	0.49	0.49	3.45	0.03	[ 69.52 475.84]	[1090.95 -311.42]	[1.   3.45 9.  ]	[1160.47   69.52  406.32]	147909534008.11108	271311205516.74155	8.637103811914814e-07	3	1	179486395884.18835	147909534008.11108	127751
									(0.19, 1.0)	('NCtimeCmedian',)	225695.1	4.2769805723683865	0.51	0.51	3.25	0.04	[106.12 621.51]	[1536.06 -140.84]	[1.   3.25 9.  ]	[1642.19  106.12  515.39]	369438782474.72424	605241867414.1409	3.6149967554945904e-07	3	1	399591534565.2536	369438782474.72424	133552
