SStimeCmean	NCAnsCsum	NCPreOrdmax	NCAnsCprop	SAAnsCprop	SSAnsCprop	CAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.01, 1.0)		(52.0, 52.0)	(0.0, 1.0)				('SStimeCmean', 'NCPreOrdmax', 'NCAnsCprop')	-2090.29	-2.0902900000000012e-07	1.0	1.0	3.56	6.59	[ 88.11 621.27 -50.   647.02]	[ 1318.35  -580.26  4269.06 -1113.16]	[1.   3.56 7.22 7.72 9.  ]	[1406.46   88.11  533.16 -671.27  697.02]	577772187965.7341	930674192807.8666	4.522318751962774e-07	7	3	579008588930.6101	577772187965.7341	261287
(0.01, 1.0)		(52.0, 52.0)		(0.0, 1.0)			('SStimeCmean', 'NCPreOrdmax', 'SAAnsCprop')	-2090.29	-2.090290000000002e-08	1.0	1.0	3.56	0.0	[ 88.11 621.27 289.58 726.87]	[ 1318.35  -580.27  1746.38 -1831.82]	[1.   3.56 7.01 8.18 9.  ]	[1406.46   88.11  533.16 -331.7   437.29]	577772187965.8503	930674192807.8666	4.5223187519618643e-07	7	3	579008588930.6101	577772187965.8503	261287
(0.01, 1.0)		(52.0, 52.0)			(0.0, 1.0)		('SStimeCmean', 'NCPreOrdmax', 'SSAnsCprop')	-2090.29	-2.0902900000000002e-09	1.0	1.0	3.56	6.59	[  88.11  621.27 -925.54  647.02]	[ 1318.35  -580.27 10400.04 -1113.16]	[1.   3.56 7.1  7.32 9.  ]	[ 1406.46    88.11   533.16 -1546.81  1572.56]	577772187965.991	930674192807.8666	4.522318751960763e-07	7	3	579008588930.6101	577772187965.991	261287
(0.01, 1.0)			(0.0, 1.0)	(0.0, 1.0)			('SStimeCmean', 'NCAnsCprop', 'SAAnsCprop')	-2090.29	-2.0902900000000007e-10	1.0	1.0	3.56	0.0	[ 88.11 621.27 -18.04 760.88]	[ 1318.35  -580.27  4207.3  -2137.86]	[1.   3.56 7.49 8.15 9.  ]	[1406.46   88.11  533.16 -639.31  778.91]	577772187965.7244	930674192807.8666	4.52231875196285e-07	7	3	579008588930.6101	577772187965.7244	261287
(0.01, 1.0)			(0.0, 1.0)		(0.0, 1.0)		('SStimeCmean', 'NCAnsCprop', 'SSAnsCprop')	-2090.29	-2.0902900000000017e-11	1.0	1.0	3.56	6.59	[   88.11   621.27 -2521.61   647.02]	[ 1318.35  -580.27 23253.65 -1113.16]	[1.   3.56 7.58 7.69 9.  ]	[ 1406.46    88.11   533.16 -3142.89  3168.64]	577772187965.8364	930674192807.8666	4.522318751961973e-07	7	3	579008588930.6101	577772187965.8364	261287
(0.01, 1.0)				(0.0, 1.0)	(0.0, 1.0)		('SStimeCmean', 'SAAnsCprop', 'SSAnsCprop')	-2090.29	-2.090290000000001e-12	1.0	1.0	3.56	0.0	[   88.11   621.27   250.53 10739.95]	[  1318.35   -580.27   2058.76 -91949.56]	[1.   3.56 7.12 8.96 9.  ]	[ 1406.46    88.11   533.16  -370.74 10489.42]	577772187965.8921	930674192807.8666	4.5223187519615376e-07	7	3	579008588930.6101	577772187965.8921	261287
(0.01, 1.0)						(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean')	-57488.08	-5.748808000000004e-12	1.0	1.0	3.56	6.56	[  88.23  620.34 -357.99  648.09]	[ 1315.69  -579.85  6370.29 -1128.83]	[1.   3.56 7.1  7.45 9.  ]	[1403.92   88.23  532.11 -978.33 1006.08]	571317322474.0569	922330744200.6393	4.5617206016335083e-07	7	3	572554912265.7053	571317322474.0569	260619
(0.01, 1.0)	(0.0, 1.0)					(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean', 'NCAnsCsum')	-57488.08	-5.748808000000008e-13	1.0	1.0	3.56	0.0	[   88.23   620.34 -2896.46  4658.06]	[  1315.69   -579.84  27227.56 -37218.59]	[1.   3.56 7.91 8.53 9.  ]	[ 1403.92    88.23   532.11 -3516.8   7554.52]	571317322474.9847	922330744200.6393	4.5617206016261005e-07	7	3	572554912265.7053	571317322474.9847	260619
(0.01, 1.0)		(52.0, 52.0)				(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean', 'NCPreOrdmax')	-57488.08	-5.748808000000006e-14	1.0	1.0	3.56	7.48	[   88.23   620.34 -1178.17   648.09]	[ 1315.69  -579.85 12211.03 -1128.83]	[1.   3.56 7.11 7.3  9.  ]	[ 1403.92    88.23   532.11 -1798.51  1826.26]	571317322474.0017	922330744200.6393	4.5617206016339493e-07	7	3	572554912265.7053	571317322474.0017	260619
(0.01, 1.0)			(0.0, 1.0)			(0.0, 0.01)	('CAtimeCmean', 'SStimeCmean', 'NCAnsCprop')	-57488.08	-5.748808000000005e-15	1.0	1.0	3.56	0.0	[   88.23   620.34 -6213.01  3577.18]	[  1315.69   -579.84  53760.01 -27490.68]	[1.   3.56 7.95 8.3  9.  ]	[ 1403.92    88.23   532.11 -6833.36  9790.2 ]	571317322474.2311	922330744200.6393	4.561720601632118e-07	7	3	572554912265.7053	571317322474.2311	260619
