NCtimeCmean	grade	SAPreOrdmax	NCIES	CAtimeCmedian	SSPreOrdmax	NCRTinterceptNumDis	SSAnsCsum	NCtimeCmedian	NCRTinterceptNumRatio	SAAnsCsum	SAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
						(0.0, 0.35)						('NCRTinterceptNumDis',)	16570.89	17.015768739347315	0.52	0.52	3.63	0.0	[  69.53  537.67   86.37 1433.19]	[ 1110.29  -591.29  2731.3  -8888.44]	[1.   3.63 7.36 8.63 9.  ]	[1179.82   69.53  468.14 -451.31 1346.83]	165846046813.83206	299283784926.057	8.153766857753142e-07	7	3	195837211590.2136	165846046813.83206	135227
							(0.44, 1.0)					('SSAnsCsum',)	14788.98	3.2404566475656393	0.51	0.51	3.65	6.86	[   68.19   531.77 -1470.56   620.78]	[ 1160.94  -531.59 14868.79 -1511.78]	[1.   3.65 7.69 7.83 9.  ]	[ 1229.13    68.19   463.57 -2002.33  2091.35]	165951413440.07474	296722042337.52075	8.0045717747362e-07	7	3	191212951815.1625	165951413440.07474	132837
							(0.0, 0.44)					('SSAnsCsum',)	7993.93	1.8691566167539273	0.49	0.49	3.49	10.6	[  108.69   714.77 -1275.54   675.66]	[ 1479.78  -633.77 14799.01  -710.45]	[1.   3.49 7.75 7.95 9.  ]	[ 1588.47   108.69   606.09 -1990.31  1951.19]	361149158692.6649	592082955888.6866	3.5571452101685097e-07	7	3	387864978630.78094	361149158692.6649	128466
								(0.19, 1.0)				('NCtimeCmedian',)	8723.2	0.3167211062542958	0.51	0.51	3.5	10.28	[106.12 705.24 159.6  717.36]	[ 1536.06  -561.38  3422.21 -1034.6 ]	[1.   3.5  7.3  7.99 9.  ]	[1642.19  106.12  599.12 -545.64  557.76]	368586875323.05536	605241867414.1409	3.623352022042176e-07	7	3	399591543944.57825	368586875323.05536	133552
								(0.0, 0.19)				('NCtimeCmedian',)	18269.05	0.15633651532835235	0.49	0.49	3.64	0.0	[  69.52  531.91 -991.79 2668.12]	[  1090.95   -591.34  11322.68 -20047.35]	[1.   3.64 7.82 8.57 9.  ]	[ 1160.47    69.52   462.39 -1523.7   3659.9 ]	147487755662.13388	271311205516.74155	8.661803783403756e-07	7	3	179486386501.36502	147487755662.13388	127751
									(0.38, 1.0)			('NCRTinterceptNumRatio',)	8758.12	0.03069444711553399	0.48	0.48	3.51	0.0	[ 108.74  712.13  105.24 1141.32]	[ 1534.25  -581.44  3893.99 -4817.85]	[1.   3.51 7.37 8.41 9.  ]	[1642.99  108.74  603.39 -606.89 1036.08]	347742822339.29114	574672529380.4536	3.6200315840646036e-07	7	3	379280094124.43866	347742822339.29114	125884
									(0.0, 0.38)			('NCRTinterceptNumRatio',)	15541.18	0.017457078182750933	0.52	0.52	3.63	6.91	[ 69.5  536.25  55.62 586.12]	[ 1116.74  -575.64  2843.06 -1255.04]	[1.   3.63 7.11 7.72 9.  ]	[1186.24   69.5   466.75 -480.63  530.51]	170767834371.9429	304655317593.3931	7.930006285905638e-07	7	3	199797836321.50476	170767834371.9429	135419
										(0.48, 1.0)		('SAAnsCsum',)	14488.95	0.0029933178578970395	0.52	0.52	3.66	0.0	[ 71.98 534.54 194.42 715.88]	[ 1144.13  -549.92  1894.03 -2378.49]	[1.   3.66 7.19 8.19 9.  ]	[1216.11   71.98  462.56 -340.12  521.45]	173168344326.56342	306626262642.2012	7.811242899274557e-07	7	3	199509591280.49582	173168344326.56342	135266
										(0.0, 0.48)		('SAAnsCsum',)	8248.9	0.0007905706957209677	0.48	0.48	3.48	10.65	[105.48 715.35 185.28 681.07]	[1504.08 -616.25 3185.47 -724.78]	[1.   3.48 7.17 7.89 9.  ]	[1609.56  105.48  609.87 -530.07  495.79]	350832529156.3719	579044960823.7457	3.5925117976680895e-07	7	3	379568339165.4477	350832529156.3719	126037
											(0.71, 1.0)	('SAtimeCmean',)	9866.29	0.00209902033205431	0.38	0.38	3.44	0.0	[107.88 733.6  320.07 797.42]	[ 1544.15  -608.83  2315.67 -1606.9 ]	[1.   3.44 7.07 8.22 9.  ]	[1652.02  107.88  625.72 -413.52  477.35]	294049367656.4079	487256195101.3379	3.400347390538627e-07	7	3	328027404028.07043	294049367656.4079	99987
